School Code,School Name,Latitude,Longitude,Centre Type,Independent Public School,Actual Floor Number,Actual Building Name,Actual Street Number,Actual Street Name,Actual Suburb/Town,Actual Postcode,OIC Title,Postal Address 1,Postal Address 2,Postal Address 3,Postal Address Post Code,Band,Phone Number,Restrict Contact to Outside Teaching Hours,Fax Number,Internet Site,Official Low Year Level,Official High Year Level,DoE Geographic Region,Federal Electorate,State Electorate,Local Government Area,Host Centre Name,Host Centre Code,Host Centre Type,
2246,Silkstone SS - Special Education Program,-27.6192,152.783455,Special Education Program,N,,,,Prospect Street,Silkstone,4304,Head of Special Education Services,Molloy Street,Silkstone,,4304,5,(07) 3281 2001,N,(07) 3281 8059,,Prep Year,Year 6,Metropolitan,Blair,Ipswich,Ipswich (C),247,Silkstone State School,State School,
2247,Clinton SS - Special Education Program,-23.880021,151.222868,Special Education Program,N,,,,Harvey Road,Clinton,4680,Head of Special Education Services,Harvey Road,Gladstone,,4680,6,(07) 4978 9333,N,(07) 4978 1952,www.clintonss.eq.edu.au,Early Childhood,Year 6,Central Queensland,Flynn,Gladstone,Gladstone (R),172,Clinton State School,State School,
2248,Forest Lake SHS - Special Education Program,-27.62451,152.971524,Special Education Program,N,,,,High Street,Forest Lake,4078,Head of Special Education Services,c/- Forest Lake SHS,PO Box 4063,Forest Lake,4078,7,(07) 3714 2333,N,(07) 3714 2300,www.forestlakeshs.eq.edu.au,Year 7,Year 12,Metropolitan,Oxley,Inala,Brisbane (C),1726,Forest Lake State High School,State High School,
2249,Thuringowa SHS - Special Education Program,-19.336551,146.719053,Special Education Program,N,,,26 - 54,Vickers Road South,Condon,4815,Head of Special Education Services,PO Box 186,Thuringowa Central,,4817,5,(07) 4753 8888,N,(07) 4773 1222,www.thuringowashs.eq.edu.au,Year 7,Year 12,North Queensland,Herbert,Thuringowa,Townsville (C),2172,Thuringowa State High School,State High School,
2250,Centenary SHS - Special Education Program,-27.538682,152.940337,Special Education Program,N,,,1,Moolanda Street,Jindalee,4074,Head of Special Education Services,PO Box 321,Mount Ommaney,,4074,6,(07) 3373 4555,N,(07) 3373 4500,,Year 7,Year 12,Metropolitan,Oxley,Mount Ommaney,Brisbane (C),1668,Centenary State High School,State High School,
2251,North Rockhampton SHS - Special Education Program,-23.352105,150.531699,Special Education Program,N,,North Rockhampton SHS,,Berserker Street,Frenchville,4701,Head of Special Education Services,PO Box 5021,CQ Mail Centre,,4702,6,(07) 4924 7837,N,(07) 4924 7800,,Year 7,Year 12,Central Queensland,Capricornia,Rockhampton,Rockhampton (R),2041,North Rockhampton State High School,State High School,
2252,Nambour State College - Senior School Special Education Program,-26.623206,152.962384,Special Education Program,N,,Nambour State High School,1,Carroll Street,Nambour,4560,Head of Special Education Services,PO Box 79,Nambour,,4560,7,(07) 5450 4129,N,(07) 5450 4100,www.namboursc.eq.edu.au,Year 7,Year 12,North Coast,Fairfax,Nicklin,Sunshine Coast (R),2031,Nambour State College,State School,
2253,Browns Plains SHS - Special Education Program,-27.669922,153.054003,Special Education Program,N,,,,Ivor Street,Browns Plains,4118,Head of Special Education Services,PO Box 366,Browns Plains,,4118,6,(07) 3802 6222,N,(07) 3802 6200,www.brownsplainsshs.eq.edu.au,Year 7,Year 12,South East,Rankin,Woodridge,Logan (C),2164,Browns Plains State High School,State High School,
2254,Redcliffe SHS - Special Education Program,-27.223688,153.111006,Special Education Program,N,,,,Cnr Klingner Road & Oxley Avenue,Redcliffe,4020,Head of Special Education Services,PO Box 510,Redcliffe,,4020,6,(07) 3897 1121,N,(07) 3897 1100,www.redcliffeshs.eq.edu.au,Year 7,Year 12,North Coast,Petrie,Redcliffe,Moreton Bay (R),2045,Redcliffe State High School,State High School,
2255,Gladstone SHS - Special Education Program,-23.851617,151.25087,Special Education Program,N,,,,Dawson Highway,West Gladstone,4680,Head of Special Education Services,PO Box 260,Gladstone,,4680,7,(07) 4976 6163,N,(07) 4976 6100,,Year 7,Year 12,Central Queensland,Flynn,Gladstone,Gladstone (R),2030,Gladstone State High School,State High School,
2257,Glasshouse Christian College ,-26.861627,152.95187,Non-State School,N,,,58,Roberts Road,Beerwah,4519,Principal,58 Roberts Road,Beerwah,,4519,,(07) 5439 0033,N,(07) 5439 0044,www.gccc.qld.edu.au,Prep Year,Year 12,North Coast,Fisher,Caloundra,Sunshine Coast (R),2257,Glasshouse Christian College ,Non-State School,
2260,Toohey Forest Environmental Education Centre,-27.552724,153.057401,Outdoor and Environmental Education Centre,N,,Toohey Forest EEC,,South Ring Road,Nathan,4111,Principal,Griffith University EcoCentre,Kessels Road,Nathan,4111,6,(07) 3735 6557,,(07) 3735 7638,www.toohforeeec.eq.edu.au,,,Metropolitan,Moreton,Toohey,Brisbane (C),2260,Toohey Forest Environmental Education Centre,Outdoor and Environmental Education Centre,
2263,Jubilee Primary School,-27.927924,153.315885,Non-State School,N,,,34,Manra Way,Pacific Pines,4211,Principal,PO Box 486,Helensvale,,4212,,(07) 5502 8566,N,(07) 5502 8522,www.jubileeprimary.qld.edu.au,Prep Year,Year 6,South East,Fadden,Gaven,Gold Coast (C),2263,Jubilee Primary School,Non-State School,
2265,Tamborine Mountain State High School,-27.932894,153.190096,State High School,Y,,,,Holt Road,Tamborine Mountain,4272,Principal,Holt Road,North Tamborine,,4272,10,(07) 5545 7222,N,(07) 5545 7200,www.tamborinemtnshs.eq.edu.au,Year 7,Year 12,South East,Wright,Scenic Rim,Scenic Rim (R),2265,Tamborine Mountain State High School,State High School,
2266,St Andrew's Catholic College Redlynch Valley,-16.904066,145.699249,Non-State School,N,,,185-205,Intake Road,Redlynch,4870,Principal,PO Box 150,Redlynch,,4870,,(07) 4039 5200,,(07) 4039 5255,www.standrewscc.qld.edu.au,Prep Year,Year 12,Far North Queensland,Leichhardt,Barron River,Cairns (R),2266,St Andrew's Catholic College Redlynch Valley,Non-State School,
2281,Beenleigh SHS - Special Education Program,-27.715327,153.204418,Special Education Program,N,,,,Alamein Street,Beenleigh,4207,Head of Special Education Services,PO Box 29,Beenleigh,,4207,7,(07) 3442 3777,N,(07) 3442 3700,www.beenleigshs.eq.edu.au,Year 7,Year 12,South East,Forde,Macalister,Logan (C),2084,Beenleigh State High School,State High School,
2282,Chancellor State College,-26.721321,153.059438,State School,Y,,,,Sippy Downs Drive,Sippy Downs,4556,Executive Principal,PO Box 7066,Sippy Downs,,4556,11,(07) 5453 3222,N,(07) 5453 3200,www.chancellorsc.eq.edu.au,Prep Year,Year 12,North Coast,Fisher,Buderim,Sunshine Coast (R),2282,Chancellor State College,State School,
2283,PLACE,-27.64332,153.099157,Positive Learning Centre,N,,,,Wembley Road,Logan Central,4114,Coordinator,PO Box 417,Woodridge,,4114,,(07) 3290 7231,N,(07) 3208 3695,,Year 5,Year 10,South East,Rankin,Woodridge,Logan (C),2128,Woodridge State High School,State High School,
2284,Ipswich Positive Learning Centre,-27.605786,152.778159,Positive Learning Centre,N,,,12,Blackwood Street,East Ipswich,4305,Senior Teacher-in-Charge,c/- Ipswich East State School,Jacaranda Street,East Ipswich,4305,,(07) 3432 6373,N,(07) 3432 6321,,Year 5,Year 10,Metropolitan,Blair,Ipswich,Ipswich (C),575,Ipswich East State School,State School,
2285,POWER Positive Learning Centre,-27.237863,152.986729,Positive Learning Centre,N,,,,Sheaves Road,Kallangur,4503,Teacher-in-Charge,PO Box 298,Kallangur,,4503,,(07) 3491 5222,N,(07) 3491 5200,www.dakabinss.eq.edu.au,Year 3,Year 7,North Coast,Longman,Murrumba,Moreton Bay (R),1988,Dakabin State School,State School,
2286,Cairns Flexible Learning Centre,-16.921363,145.750015,Positive Learning Centre,N,,,90,Clarke Street,Manunda,4870,Director,PO Box 7092,Cairns,,4870,,(07) 4080 9222,N,(07) 4080 9200,www.cairnssde.eq.edu.au,Year 5,Year 10,Far North Queensland,Leichhardt,Cairns,Cairns (R),3601,Cairns School of Distance Education,School of Distance Education,
2287,Turning Point Positive Learning Centre,-27.53641,153.189826,Positive Learning Centre,N,,Capalaba State College,,School Road,Capalaba,4157,Teacher-in-Charge,PO Box 27,Capalaba,,4157,,(07) 3245 0226,N,(07) 3245 0230,,Year 5,Year 10,South East,Bowman,Capalaba,Redland (C),5534,Capalaba State College,State School,
2288,Emerald Christian College,-23.552873,148.170844,Non-State School,N,,,Lot 2,Gregory Highway,Emerald,4720,Principal,PO Box 1993,Emerald,,4720,,(07) 4982 0977,,(07) 4982 0244,www.ecc.qld.edu.au,Prep Year,Year 12,Central Queensland,Flynn,Gregory,Central Highlands (R),2288,Emerald Christian College,Non-State School,
2292,Noosa District State High School - Pomona Campus,-26.352752,152.863665,Campus,Y,,,120,Summit Road,Pomona,4568,Head of Campus,PO Box 168,Pomona,,4569,9,(07) 5480 8111,N,(07) 5485 2270,www.noosadistrictshs.eq.edu.au,Year 7,Year 8,North Coast,Wide Bay,Noosa,Noosa (S),2088,Noosa District State High School,State High School,
2294,Brisbane Youth Education and Training Centre,-27.592473,152.914984,Educational Unit,N,,,99,Wolston Park Road,Wacol,4076,Principal,PO Box 456,Archerfield,,4108,9,(07) 3271 0771,N,(07) 3271 0770,www.brisbaneyoutheu.eq.edu.au,Year 6,Year 12,Metropolitan,Oxley,Inala,Brisbane (C),2294,Brisbane Youth Education and Training Centre,Educational Unit,
2295,MacGregor SHS - Special Education Program,-27.566037,153.076625,Special Education Program,N,,,,Blackwattle Street,Macgregor,4109,Head of Special Education Services,Blackwattle Street,MacGregor,,4109,6,(07) 3347 3555,N,(07) 3347 3500,,Year 7,Year 12,Metropolitan,Moreton,Toohey,Brisbane (C),2124,MacGregor State High School,State High School,
2296,Park Ridge SHS - Special Education Program,-27.70035,153.0337,Special Education Program,N,,,14-30,Lancewood Street,Park Ridge,4125,Head of Special Education Services,PO Box 893,Park Ridge,,4125,7,(07) 3380 4111,N,(07) 3380 4100,,Year 7,Year 12,South East,Forde,Logan,Logan (C),2187,Park Ridge State High School,State High School,
2297,Runcorn SS - Special Education Program,-27.588129,153.062144,Special Education Program,N,,,646,Beenleigh Road,Sunnybank,4109,Teacher-in-Charge,PO Box 3185,Sunnybank South,,4109,,(07) 3323 8777,N,(07) 3323 8700,www.runcornss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Toohey,Brisbane (C),968,Runcorn State School,State School,
2298,Gympie SHS - Special Education Program,-26.188369,152.67812,Special Education Program,N,,,2,Everson Road,Gympie,4570,Head of Special Education Services,PO Box 22,Gympie,,4570,6,(07) 5489 8367,N,(07) 5489 8300,www.gympieshs.eq.edu.au,Year 7,Year 12,North Coast,Wide Bay,Gympie,Gympie (R),2007,Gympie State High School,State High School,
2299,Tin Can Bay SS - Special Education Program,-25.925433,152.995063,Special Education Program,N,,,2,Schnapper Creek Road,Tin Can Bay,4580,Head of Special Education Services,Locked Bag 600,Tin Can Bay,,4580,5,(07) 5488 1222,N,(07) 5488 1233,,Prep Year,Year 10,North Coast,Wide Bay,Gympie,Gympie (R),577,Tin Can Bay State School,State School,
2301,Musgrave Hill SS - Special Education Program,-27.959265,153.393796,Special Education Program,N,,,,Nakina Street,Southport,4215,Head of Special Education Services,PO Box 2605,Southport,,4215,6,(07) 5531 3919,N,(07) 55915830,www.musghillss.eq.edu.au,Prep Year,Year 6,South East,Moncrieff,Bonney,Gold Coast (C),1678,Musgrave Hill State School,State School,
2302,Southport SHS - Special Education Program,-27.962811,153.402439,Special Education Program,N,,,75,Smith Street,Southport,4215,Head of Special Education Services,PO Box 1726,Southport,,4215,7,(07) 5509 1254,N,(07) 5509 1200,,Year 7,Year 12,South East,Moncrieff,Bonney,Gold Coast (C),2037,Southport State High School,State High School,
2303,Nerang SHS - Special Education Program,-28.000554,153.327896,Special Education Program,N,,,,Weedons Road,Nerang,4211,Head of Special Education Services,Weedons Road,Nerang,,4211,6,(07) 5503 7819,N,(07) 5503 7800,www.nerangshs.eq.edu.au,Year 7,Year 12,South East,Moncrieff,Gaven,Gold Coast (C),2169,Nerang State High School,State High School,
2304,Maryborough West SS - Special Education Program,-25.523372,152.694163,Special Education Program,N,,,153,North Street,Maryborough,4650,Head of Special Education Services,149 North Street,Maryborough,,4650,6,(07) 4120 2666,N,(07) 4120 2600,www.marywestss.eq.edu.au,Early Childhood,Year 6,North Coast,Wide Bay,Maryborough,Fraser Coast (R),485,Maryborough West State School,State School,
2305,Boonah SHS - Special Education Program,-27.995422,152.689172,Special Education Program,N,,,32,Macquarie Street,Boonah,4310,Head of Special Education Services,PO Box 94,Boonah,,4310,5,(07) 5460 6111,N,(07) 5460 6100,www.boonahshs.eq.edu.au,Year 7,Year 12,South East,Wright,Scenic Rim,Scenic Rim (R),2105,Boonah State High School,State High School,
2306,Jimboomba SS - Special Education Program,-27.829977,153.026552,Special Education Program,N,,,,Mount Lindesay Highway,Jimboomba,4280,Head of Special Education Services,PO Box 119,Jimboomba,,4280,5,(07) 5548 8333,N,(07) 5548 8300,www.jimboombass.eq.edu.au,Prep Year,Year 6,South East,Wright,Logan,Logan (C),604,Jimboomba State School,State School,
2307,Mabel Park SHS - Special Education Program,-27.639652,153.128856,Special Education Program,N,,,72-116,Paradise Road,Slacks Creek,4127,Head of Special Education Services,PO Box 2780,Logan City DC,,4114,6,(07) 3489 2367,N,(07) 3489 2300,,Year 7,Year 12,South East,Rankin,Waterford,Logan (C),2161,Mabel Park State High School,State High School,
2308,Marsden SHS - Special Education Program,-27.684754,153.111421,Special Education Program,N,,,106-130,Muchow Road,Waterford West,4133,Head of Special Education Services,Muchow Road,Waterford West,,4133,7,(07) 3299 0555,N,(07) 3299 0500,www.marsdenshs.eq.edu.au,Year 7,Year 12,South East,Forde,Waterford,Logan (C),2176,Marsden State High School,State High School,
2309,Woodridge SHS - Special Education Program,-27.64332,153.099157,Special Education Program,N,,,,Wembley Road,Logan Central,4114,Head of Special Education Services,PO Box 417,Woodridge,,4114,6,(07) 3290 7222,N,(07) 3290 7200,,Year 7,Year 12,South East,Rankin,Woodridge,Logan (C),2128,Woodridge State High School,State High School,
2310,Bray Park SHS - Special Education Program,-27.299893,152.961965,Special Education Program,N,,,,Lavarack Road,Bray Park,4500,Head of Special Education Services,Lavarack Road,Bray Park,,4500,6,(07) 3881 6666,N,(07) 3881 6600,www.brayparkshs.eq.edu.au,Year 7,Year 12,North Coast,Dickson,Pine Rivers,Moreton Bay (R),2173,Bray Park State High School,State High School,
2311,Minimbah SS - Special Education Program,-27.110796,152.924326,Special Education Program,N,,,,Minimbah Drive,Morayfield,4506,Head of Special Education Services,Cnr Walkers Road & Minimbah Drive,Morayfield,,4506,5,(07) 5431 7333,N,(07) 5431 7300,www.minimbahss.eq.edu.au,Prep Year,Year 6,North Coast,Longman,Morayfield,Moreton Bay (R),265,Minimbah State School,State School,
2313,Golden Beach SS - Special Education Program,-26.814446,153.116844,Special Education Program,N,,,,Gregory Street,Golden Beach,4551,Head of Special Education Services,PO Box 459,Caloundra,,4551,5,(07) 5437 4334,N,(07) 5437 4300,www.goldbeacss.eq.edu.au,Prep Year,Year 6,North Coast,Fisher,Caloundra,Sunshine Coast (R),1920,Golden Beach State School,State School,
2314,Coolum SS - Special Education Program,-26.53501,153.078354,Special Education Program,N,,,,School Road,Coolum Beach,4573,Head of Special Education Services,PO Box 374,Coolum Beach,,4573,5,(07) 5471 9300,N,(07) 5471 9307,,Prep Year,Year 6,North Coast,Fairfax,Ninderry,Sunshine Coast (R),1571,Coolum State School,State School,
2315,Everton Park SS - Special Education Program,-27.39834,152.985555,Special Education Program,N,,,,Deakin Street,Everton Park,4053,Teacher-in-Charge,Deakin Street,Everton Park,,4053,,(07) 3550 2222,N,(07) 3550 2200,,Prep Year,Year 6,Metropolitan,Lilley,Everton,Brisbane (C),1185,Everton Park State School,State School,
2316,Red Hill SPEC S - Early Childhood Development Program,-27.450749,153.000651,Special Education Program,N,,,72,Waterworks Road,Red Hill,4059,Head of Special Education Services,72 Waterworks Road,Red Hill,,4059,,(07) 3291 9333,N,(07) 3291 9300,,Early Childhood,Early Childhood,Metropolitan,Brisbane,Cooper,Brisbane (C),3085,Red Hill Special School,Special School,
2317,Cranbrook SS - Special Education Program,-19.3092,146.753855,Special Education Program,N,,,,Alice Street,Cranbrook,4814,Teacher-in-Charge,Alice Street,Cranbrook,,4814,5,(07) 4726 1222,N,(07) 4726 1200,,Prep Year,Year 6,North Queensland,Herbert,Mundingburra,Townsville (C),1907,Cranbrook State School,State School,
2318,Harristown SHS - Special Education Program,-27.574685,151.931777,Special Education Program,N,,,341-367,South Street,Harristown,4350,Head of Special Education Services,PO Box 156,Drayton North,,4350,7,(07) 4636 8700,N,(07) 4636 8777,www.harristownshs.eq.edu.au,Year 7,Year 12,Darling Downs South West,Groom,Toowoomba South,Toowoomba (R),2038,Harristown State High School,State High School,
2319,Brisbane Valley Cluster -  Special Education Program,-27.102603,152.388355,Special Education Program,N,,,76,Old Mount Beppo Road,Toogoolawah,4313,Head of Special Education Services,PO Box 21,Toogoolawah,,4313,5,(07) 5423 4444,N,(07) 5423 4400,www.toogoolawahshs.eq.edu.au,Early Childhood,Year 12,Darling Downs South West,Blair,Nanango,Somerset (R),2179,Toogoolawah State High School,State High School,
2321,Aldridge SHS - Special Education Program,-25.516557,152.688545,Special Education Program,N,,,,Boys Avenue,Maryborough,4650,Head of Special Education Services,PO Box 3061,Pallas Street,Maryborough,4650,7,(07) 4120 8453,N,(07) 4120 8465,www.aldridgeshs.eq.edu.au,Year 7,Year 12,North Coast,Wide Bay,Maryborough,Fraser Coast (R),2017,Aldridge State High School,State High School,
2322,Bremer SHS - Special Education Program,-27.633359,152.755332,Special Education Program,N,,,133-153,Warwick Road,Ipswich,4304,Head of Special Education Services,PO Box 23,Booval,,4304,7,(07) 3810 9333,N,(07) 3812 9950,www.bremershs.eq.edu.au,Year 7,Year 12,Metropolitan,Blair,Ipswich,Ipswich (C),2050,Bremer State High School,State High School,
2323,Flagstone State Community College,-27.807223,152.956361,State High School,N,,,,Cnr Homestead Drive & Poinciana Drive,Jimboomba,4280,Principal,PO Box 517,Jimboomba,,4280,10,(07) 5547 9333,N,(07) 5547 9300,www.flagstonescc.eq.edu.au,Year 7,Year 12,South East,Wright,Jordan,Logan (C),2323,Flagstone State Community College,State High School,
